aboard|type|cn / ln|date|fatalities|flight #|ground|location|operator|registration|route|summary|time
239   (passengers:227  crew:12)|Boeing 777-200|28420/404|March 08, 2014|239   (passengers:227  crew:12)|370|0|South Indian Ocean|Malaysia Airlines|9M-MRO|Kuala Lumpur - Beijing|Radar contact was lost with the aircraft 2 hours into the flight at 0240. All indications are that the aircraft changed direction from its flight path and crashed in a remote part of the Indian Ocean southwest of Perth Australia. It is assumed all 227 passengers and crew of 12 perished.|0241
2   (passengers:1  crew:1)|Urocopter AS350 B2|3669|March 18, 2014|2   (passengers:1  crew:1)|?|0|Seattle, Washington|Helicopters Inc / KOMO TV|N250FB|News reporting|The news helicopter crashed and burst into flames shortl after taking off striking three vehicles. One person in one of the vehicles was badly burned. The helicopter Photojournalist Bill Strothman and the pilot were both killed.|0752
8   (passengers:6  crew:2)|British Aerospace BAe 125-700A Hawker|25719|April 19, 2014|8   (passengers:6  crew:2)|?|0|Ramos Arizpe, Mexico|Lineas Aereas Comerciales|XA-UKR|Cozumel - Ramos Arizpe|While on approach, in fog, the jet crashed into an park about half-a-mile north of Saltillo-Plan de Guadalupe International Airport.|1945
8   (passengers:7  crew:1)|Aerocomp Comp Air 8|?|April 20, 2014|8   (passengers:7  crew:1)|?|0|Jamijarvi, Finland|Suomen Urheiluilmailijat|OH-XDZ|Skydiving|While carrying skydivers, the experimental plane went into a spin and crashed and burned in a forest. The pilot and two skydivers were able to parachute to safety with minor injuries.|1530
6   (passengers:0  crew:6)|Douglas DC-3C|9700|May 08, 2014|6   (passengers:0  crew:6)|?|0|Near San Vicente del Caguan, Colombia|Alisansa Colombia|HK-4700|Villavicencio - Florencia|The Cargo plane sruck the side of a mountain about 25 miles north of San Vicente del Caguán while en route. The accident was the result of a controlled flight into terrain. The crew failed to evaluate properly the risks and the danger of poor weather conditions and decided to perform the flight in VFR mode.|1245
17   (passengers:11  crew:6)|Antonov 74TK-300|36547098982|May 17, 2014|16   (passengers:10  crew:6)|?|0|Xiang Khouang province, Laos|Laos Air Force|RDPL-34020|Vientiane - Xiangkhoung|The military aircraft crashed in a wooded area while approaching Xiangkhoung's airport, killing 16 people. Among those killed were defense minister Douangchay Phichit and other high ranking officials. For unknown reason, crew was approaching at a too low altitude.|0800
49   (passengers:40  crew:9)|Ilyushin 76MD|0083482490|June 14, 2014|49   (passengers:40  crew:9)|?|0|Lugansk, Ukraine|Military - Ukraine Air Force|76777|Melitopol - Luhansk|The military transport crashed in a wheat field  near Lugansk Airport after being shot down by anti-aircraft fire.|0050
4   (passengers:0  crew:4)|Fokker 50|20262|July 02, 2014|4   (passengers:0  crew:4)|?|0|Near Nairobi, Kenya|Skyward International Aviation|5Y-CET|Nairobi - Mogadishu, Somalia|The cargo plane, transporting the mild stimulant known as Khat to the Somali capital, Mogadishu, crashed into a commercial building after taking off from Jomo Kenyatta International Airport. While climbing by night, crew lost control of the aircraft.|?
19   (passengers:21  crew:2)|Mil Mi-171|?|July 07, 2014|18   (passengers:?  crew:?)|?|0|Thach That district, Vietnam|Military - Vietnam People's Army Air Force|?|Training|The helicopter crashed about  40 km west of Hanoi, 15 minutes after taking off during a parachute training mission.|0750
298   (passengers:283  crew:15)|Boeing 777-2H6ER|28411/84|July 17, 2014|298   (passengers:283  crew:15)|17|0|Hrabove, Ukraine|Malaysia Airlines|9M-MRD|Amsterdam - Kuala Lumpur|A Boeing 777-200 airliner operating as  Malaysia Airlines Flight 17, crashed about 40 miles east of Donetsk, Ukraine. The plane was 90 minutes into its flight, flying at 33,000 feet, when it was apparently hit by a Russian Buk missile. The missile exploded a few feet away from the cockpit .Debris was spread over a wide area. All 283 passengers and crew of 15 were killed.|1619
58   (passengers:54  crew:4)|ATR 72-500|642|July 23, 2014|48   (passengers:44  crew:4)|222|0|Magong, Taiwan|TransAsia Airways|B-22810|Kaohsiung - Magong|The passenger plane crashed into residential building while attempting to make an emergency landing during inclement weather due to the passing of hurricane Matmo.  The flight recorder revealed that after the the crew lost track of its flight path and moved away from the runway, the plane rapidly lost altitude and crashed to the ground in a period of 7.9 seconds. By the time the two pilots yelled to go around, there was nothing they could do to change the velocity and altitude of the plane in time to prevent a crash. The airport's control tower did not inform the aircraft of local weather conditions.The cause was  pilot error and a failure within the airline to follow safety procedures.|1906
116   (passengers:110  crew:6)|Mc Donnell Douglas MD-83|53190/2148|July 24, 2014|116   (passengers:110  crew:6)|AH5017|0|Aguelhok, Mali|Air Algerie|EC-LTV|Ouagadougou, Burkina Faso - Algiers, Algeria|Radar contact was lost 50 minutes after the flight took off from Ouagadougou and after the crew diverted from their planned course due to bad weather. Wreckage was found in the northern mali dessert. The plane was on loan from Swiftair. The crew likely did not activate the system during climb and cruise. As a result of the icing of the pressure sensors, the erroneous information transmitted to the auto throttle meant that the latter limited the thrust delivered by the engines. Under these conditions, the thrust was insufficient to maintain cruise speed and the aeroplane slowed down and stalled.|0147
48   (passengers:40  crew:8)|HESA Iran-140-100|9005|August 10, 2014|39   (passengers:31  crew:8)|5915|0|Tehran, Iran|Sepahan Airlines|EP-GPA|Tehran - Tabas|After taking off, the passenger banked to the right, lost altitude, and crashed into a residential neighborhood, bursting into flames. The plane appeared to have lost an engine during the takeoff. Excessive load and malfuncioning propeller.|0918
7   (passengers:5  crew:2)|Antonov An-12BK|8345802|August 30, 2014|7   (passengers:5  crew:2)|?|0|Tamanraset, Algeria|Ukraine Air Alliance|UR-DWF|Glascow -Tamanraset - Equitorial Guinea|The cargo plane crashed in the mountainous southeastern region of Algereia, 15 km south of the airport, shortly after taking off.|0244
3   (passengers:1  crew:2)|Fokker F-27 MK 500|10681|August 31, 2014|3   (passengers:1  crew:2)|?|0|Mwanza, Tanzania|Safari Express Cargo|5Y-SXP|Mwanza - Nairobi|The cargo plane crashed within the borders of Serengeti National Park not far from the Kenya - Tanzania border, shortly after taking off from Mwanza.|1945
9   (passengers:7  crew:2)|de Havilland Canada DHC-6 Twin Otter 300|528|September 20, 2014|4   (passengers:2  crew:2)|?|0|Near Port Moresby, Papua New Guinea|Hevlift|P2-KSV|Woitape - Port Moresby|While approaching Port Moresby Jacksons International Airport, the unscheduled passenger plane impacted terrain near the top of Mt. Lawes, 7 miles east northeast of the airport in poor weather. The pl;ane was too low for unknown reasons.|0935
4   (passengers:1  crew:3)|Bell 206L|?|October 04, 2014|2   (passengers:1  crew:1)|?|0|Wichita Falls, Texas|Air Evac Lifeteam|?|Waurika, OK - Wichita Falls, TX|The air ambulance crashed while transporting a patient from Waurika, Oklahoma to United Regional Health Center. The patient was killed and 3 crew members injured.|0156
6   (passengers:0  crew:6)|Antonov An-26|8606|December 28, 2014|6   (passengers:0  crew:6)|902|0|Near Uvira, Congo|Air Sirin|4L-AFS|Bujumbura, Burundi - Pointe Noire, Congo|The cargo plane impacted a mountainside while en route.|0300
162   (passengers:155  crew:7)|Airbus A-320-216|3648|December 28, 2014|162   (passengers:155  crew:7)|8501|0|Java Sea|AirAsia|PK-AXC|Surabaya - Singapore|The aircraft went missing while en route from Suabaya to Singapore. Contact was lost about 40 minutes after taking off. Before contact was lost, the pilot requested a route change due to weather conditions. Preliminary indications are the plane ran into poor weather and stalled from FL320. The rudder travel limiter faulted 3 times during the flight. On the fourth fault the captain decided to try resetting the system by pulling circuit breakers as he had seen a maintenance technician do on the ground. This caused the autopilot to disengage causing the plane to bank 54 degrees. The the first officer, who was flying, became disoriented and was slow to correct the bank. He then put the plane into a steep climb that caused the aircraft to stall and eventually crash. Records show that the plane flew with that mechanical problem for 12 months preceding the accident.|0618
37   (passengers:35  crew:2)|Antonov An-26|?|January 18, 2015|37   (passengers:35  crew:2)|?|0|Near Abu adh Dhuhur Air Base, Syria|Syrian Air Force|?|Damascus - Abu Adh Dhuhur|The army transport crashed while attempting to land in fog after hitting electric lines. The Al Nursa front, claimed that it shot down the aircraft.|?
58   (passengers:53  crew:5)|ATR 72-600|1141|February 04, 2015|43   (passengers:39  crew:4)|235|0|Taipei, Taiwan|Transasia|B-22816|Taipei - Kinmen|After the aircraft took off, it climbed to 1,300 feet, turned left and began losing altitude and speed. It then, banked to 90 degrees, the wingtip striking a taxi on a roadway and crashed into the Keelung River, coming to rest inverted. The pilot  mistakenly throttled down a still-running engine following a glitch with the other engine. Pilot error.|1055
10   (passengers:8  crew:2)|?|?|March 10, 2015|10   (passengers:8  crew:2)|?|0|Villa Castelli, Argenina|Private|?|?|Three French sports figures participating in a reality show were killed along with seven other people when the two helicopters filming the show collided.|?
150   (passengers:144  crew:6)|Airbus A320-211|147|March 24, 2015|150   (passengers:144  crew:6)|9525|0|Near Digne-Les-Bains, France|Germanwings|D-AIPX|Barcelona, Spain - Dusseldorf, Germany|The jetliner crashed in a remote mountainous area of southern France. The plane was obliterated with no wreckage larger than a small car. According to a flight tracker, the plane fell from 38,000 ft. to 11,400 ft. in eight minutes. The aircraft impacted the ground at a high rate of speed.The copilot locked the captain out of the cockpit and put the plane into a controlled descent until it impacted the ground.|1053
9   (passengers:8  crew:1)|de Havilland DHC-3T Vazar TurbineOtter|270|June 25, 2015|9   (passengers:8  crew:1)|?|0|Ella Lake, Alaska|Promech Air|N270PA|Sightseeing|The Twin Otter crashed while on a sightseeing tour carrying cruise ship passengers. The plane impacted a granite rock face cliff near Ella Lake, about 25 miles northeast of Ketchikan.|1343
122   (passengers:110  crew:12)|Lockheed C130-B Hercules|3616|June 30, 2015|122   (passengers:110  crew:12)|?|19|Medan, Indonesia|Military - Indonesian Air Force|A-1310|Medan - Tanjung Pinang, Sumatra.|The military transport crashed shortly after taking off from Soewondo Air Base. Two minutes into the flight, the crew radioed they were having engine problems and returning to the airport. Soon after, the plane went down in a populated area, hitting two empty buildings. The plane was carrying civilian relatives of military personnel.|1148
11   (passengers:0  crew:11)|CASA CN-235-100|C-118|July 31, 2015|11   (passengers:0  crew:11)|?|0|Near Agustin Codazzi, Colombia|Military - Colombia Air Force|FAC1261|Palanquero AB -Valledupar|The military transport crashed while en route after the crew reported engine problems. The weather was reported to be poor at the time of the crash.|?
6   (passengers:4  crew:2)|Pacific Aerospace|650-0151|August 12, 2015|1   (passengers:0  crew:1)|?|0|Ninia, Indonesia|Komala Air|PK-KIG|Wamena - Ninia|Strong winds forced the crew to enter a holding pattern for 40 minutes. While attempting to land, the pilot touched down half-way down the runway and was unable to stop within the remaining distance. The plane overran the runway and went down an embankment before coming to rest. The copilot was killed.|0845
54   (passengers:49  crew:5)|ATR 42-300|102|August 16, 2015|54   (passengers:49  crew:5)|267|0|Tangok mountain, Papua|Trigana Air Service|PK-YRN|Jayapura- Oksibil|The passenger plane crashed into Tangok mountain located in a remote area of Papua's eastern most provence. There was no distress call from the aircraft. High winds and heavy rain was reported in the accident area.|1455
7   (passengers:5  crew:2)|Hawker Siddeley HS-125|257062|September 05, 2015|7   (passengers:2  crew:5)|71|0|Off Dakar, Near Dioubel, Senegal|Senegalair|6V-AIM|Ouagadougou - Dakar|The air ambulance went missing while on a medical flight. Seven people were on board, including two pilots from Algeria, a flight engineer from Congo, three Senegalese medical crew and a French patient.|1908
7   (passengers:6  crew:1)|de Havilland Canada DHC 3T Turbine Otter|61|September 15, 2015|3   (passengers:3  crew:0)|?|0|Iliamna East Wind Lake, Alaska|Rainbow King Lodge|N928PK|Iliamna - Remote lake|While on the way to a remote fishing site, the non-sceduled passenger float plane crashed in trees as it attempted to take off. Three of the passengers were killed. The pilot's decision to depart in dark night, visual meteorological conditions over water, which resulted in his subsequent spatial disorientation and loss of airplane control.|0624
11   (passengers:5  crew:6)|Lockheed C-130J Hercules|5648|October 02, 2015|11   (passengers:5  crew:6)|?|2|Jalalabad, Afghanistan|Military - U.S. Army|08-3174|Jalalabad - Bagram|The military transport crashed while taking off from Jalalabad Airport. Five crew members, 5 passengers and 2 on the ground were killed. The MP’s placement of the hard-shell NVG case in front of the yoke blocking forward movement of the flight controls, the distractions experienced by the MP and MCP during the course of the ERO, and the misidentification of the malfunction once airborne.|0019
10   (passengers:7  crew:3)|de Havilland DHC-6 Twin Otter|741|October 02, 2015|10   (passengers:7  crew:3)|7503|0|Near Masamba, Indonesia|Avistar Mandari|PK-BRM|Masamba - Makassar|The aircraft went missing minutes after talking off from the airport. Seven passengers and three crew were on board. Wreckage was located on Mount Latimojong.|1429
4   (passengers:0  crew:4)|de Havilland DCH-4T Caribou|303|October 31, 2015|4   (passengers:0  crew:4)|?|0|Near Ilaga, Indonesia|Trigana Air Service|PK-SWW|Timik - Ilaga|The cargo plane carrying construction materials, hit the slope of a mountain in Iiaga Pass, 12 km south of Ilaga airport and disintegrated upon impact.|0830
224   (passengers:217  crew:7)|Airbus A321-231|663|October 31, 2015|224   (passengers:217  crew:7)|9268|0|Near Hasna, Egypt|Metrojet|EI-ETJ|Sharem el Sheikh - St. Petersburg|Approximate 25 minutes after taking off from Sharem el Sheikh airport, radar contact was lost with the airliner. Wreckage was found near Hasna in the north Sinai. The aircraft was flying at about 30,000 feet when contact with the plane was lost. The aircraft was brought down by a homemade explosive device in the left rear cargo hold. The improvised device was equivalent to 2.2 lbs of TNT.|0613
43   (passengers:38  crew:5)|Antonov 12BK|1347704|November 04, 2015|41   (passengers:37  crew:4)|?|0|Juba, South Sudan|Allied Services Limited|EY-406|Juba - Paloich|The cargo plane had just taken off from Juba Airport when it had difficulty gaining altitude and crashed into a hill about half a mile east of Runway 13. South Sudan Authorities reported the aircraft was unable to climb because it was overload, and the captain reported to ATC prior to departure he was carrying 12 passengers.|0900
7   (passengers:6  crew:1)|Aerospatiale AS 350B2 Ecureuil|1132|November 21, 2015|7   (passengers:6  crew:1)|?|0|Fox Glacier, South Valley, New Zealand|Alpine Adventures|ZK-HKU|Sightseeing|The sightseeing helicopter crashed into a crevasse on Fox Glacier. The wreckage site was 2, 500 feet up the valley with debris scattered across hundreds of feet.|1155
26   (passengers:22  crew:4)|Mil MI-8T|98206821/59|November 24, 2015|15   (passengers:13  crew:2)|?|0|Near Igarka, Russia|Turuhan Avia|RA-2561|Igarka - Krasnyi Selkub|Contact with the helicopter, which was heading to an oil pumping station, was lost 15 minutes after taking off. One of the pilots and a mechanic were among the crew members killed.|1015
2   (passengers:0  crew:2)|Canadair CRJ-200|7010|January 08, 2016|2   (passengers:0  crew:2)|294|0|Akkajaure Lake, Norrbotten, Sweden|West Air Sweden|SE-DUX|Oslo - Tromsø|While en route, the crew of the cargo plan sent a unintelligible mayday message. The plane went into a near vertical dive and disintegrated on impact with the ground. The PC ,while flying at night, one Inertial Reference Unit failed and suddenly the instruments for the pilot flying showed the plane pitching steeply up, which he tried to correct.  Due to the plane's unusual attitude, the instruments went into a "declutter" mode, which among other things removed the indication that the two pilots' instruments were conflicting.|0020
72   (passengers:72  crew:?)|Airbus A321-111|642|February 02, 2016|1   (passengers:1  crew:?)|3159|0|Near Mogadishu, Somalia|Daallo Airlines|SX-BHS|Mogadishu - Djibouti|Shortly after leaving Mogadishu Airport a loud bang was heard in the cabin. There was a loss of pressurization and the plane made an emergency landing back at the airport. A large hole was observed in the side of the fuselage. A bomb containing TNT was detonated in the cabin. The bomber was sucked out of the plane and killed.|?
23   (passengers:20  crew:3)|de Havilland DHC-6 Twin Otter 400|926|February 24, 2016|23   (passengers:20  crew:3)|193|0|Dana, Nepal|Tara Air|9N-AHH|Pokhara - Jomsom|The plane crashed in the mountainous northern region of Nepal half-way through a 20 minute flight to Jomsom. The plane was relatively new. There was wind and dense fog at the time of the accident. It was determined that the crew deviated from the prescribed route to the left while descending to Jomsom due to the presence of clouds in the area. In doing so, the aircraft descended to 10,000 feet in clouds while flying under visual flight rules (VFR). When the GPWS warning sounded, the crew failed to react immediately and the aircraft hit a cliff at the altitude of 10,700 feet before coming to rest at the altitude of 10,982 feet.|0815
11   (passengers:9  crew:2)|PAC 750XL|160|February 26, 2016|2   (passengers:0  crew:2)|?|0|250 miles northwest of Kathmandu, Nepal|Kasthamandap Airlines|9N-AJB|Nepalganj - Jumla|The plane went into a steep descent and crashed onto a field in the mountains of the Kalikot district. The plane was reported to be trying to make an emergency landing. Both the pilot and copilot were killed and nine passengers were injured.|?
4   (passengers:0  crew:4)|Antonov AN-26|13408|March 09, 2016|3   (passengers:0  crew:3)|?|0|Cox's Bazar, Bangladesh|True Aviation Ltd.|S2-AGZ|Cox's Bazar - Jessore|The cargo plane, carrying shrimp, crashed less than 5 minutes after taking off from Cox's Bazar Airport. The pilot declaired an emergency and tried to return to the airport but crashed into the shallow waters of the Bay of Bengal just offshore.|0905
22   (passengers:19  crew:3)|IAI Attava 201|090|March 15, 2016|22   (passengers:19  crew:3)|?|0|Fatima Pastaza, Ecuador|Military - Ecuador Army|E-206|Training|The crew was conducting sky diving exercises when, an hour into the flight they radioed they were returning to base due to deuterating weather conditions. Shortly thereafter the plane went out of control and crashed in a wooded area. Nineteen passengers and the 3 pilots were killed.|1430
62   (passengers:55  crew:7)|Boeing 737-8KN (WL)|40241/3517|March 19, 2016|62   (passengers:55  crew:7)|981|0|Rostov-on-Don, Russia|Flydubai|A6-FDN|Dubai - Rostov|At 2237, at Rostov-on-Don, the crew aborted a landing attempt to Runway 22 due to poor weather conditions. The plane was instructed to enter a holding pattern at 15,000 feet where it remained for a little under two hours. During a second landing attempt, at 3.4 miles from the runway and an altitude of 1,500 feet the crew executed a second go around and climbed to 3,975 feet, after which, the plane went out of control in a nose down attitude and hit the runway at high rate of speed and disintegrated.|0341
7   (passengers:5  crew:2)|Mitsubishi MU-2B 60 Marquise|1552S-A|March 29, 2016|7   (passengers:5  crew:2)|?|0|Magdelen Islands, Quebec, Canada|Marquise Aviation Corp.|N246W|Montreal - Iles-de-la-Magdelen|The plane crashed while on approach to Iles-de-la-Magdelen Airport in poor weather conditions. Former Canadian cabinet minister Jean Lapierre, his wife, 2 brothers and sister were among those killed. All five were on the way to a funeral for Lapierre's father. The pilot was flying the plane too fast and too high while on approach to land. The pilot's decision to continue an unstable approach.|1140
5   (passengers:4  crew:1)|Bell 206L|45081|April 04, 2016|5   (passengers:4  crew:1)|?|0|Near Pigeon Forge, Tennessee|Smoky Mountain Helicopters|N16760|Sightseeing|The helicopter crashed in a wooded hillside while on a sightseeing flight..|1530
12   (passengers:11  crew:1)|Britten-Norman Islander|3010|April 13, 2016|12   (passengers:11  crew:1)|?|0|Kiunga, Papua New Guinea|Sunbird Aviation|P2-SBC|Oksapmin - Kiungaraining|While on approach, the plane stalled and crased in a wooded area 1 km short of the runway. The accident took place in stormy weather.Three survived, but later died of their injuries. Possible engine failure.|1420
13   (passengers:11  crew:2)|Eurocopter EC225LP Super Puma M2+|2721|April 29, 2016|13   (passengers:11  crew:2)|?|0|Sorta, Norway|CHC Helikopter Service|LN-OJF|Gullfflex B - Bergen|The helicopter crashed on the rocky shores of Tuoy Island whle returning to Bergen from Oil platform Gullflex B. All 11 passengers and 2 pilots were killed. A video taken by an eyewitness shows the main rotor separating from the helicopter before it crashed.|1150
66   (passengers:56  crew:10)|Airbus A320-232|2088|May 19, 2016|66   (passengers:56  crew:10)|804|0|175 miles off the Egyptian coast|EgyptAir|SU-GCC|Paris - Cairo|The plane was en route from Paris to Cairo, flying at an altitude of 38,000 ft. when it made a sharp 90 degree turn to the left, followed by a 360 degree turn to the right as it lost altitude. The aircraft crashed into the Mediterranean Sea approximately 175 miles off the Egyptian coast. Two days after the accident, it is confirmed that ACARS messages reported smoke on board, apparently in the lavatory and also in a technical compartment located under the cockpit.|0249
29   (passengers:23  crew:6)|Antonov 32|0809|July 22, 2016|29   (passengers:23  crew:6)|?|0|Bay of Bengal, Indian Ocean|Indian Air Force|K2743|Chennai (Tambram AFB) - Port Blair|The aircraft was taking part in fire fighting in the region of Bayanday, when under unknown circumstances, it impact trees and crashed in a wooded area.|?
16   (passengers:15  crew:1)|Kubicek BB85Z Hot Air Balloon|?|July 30, 2016|16   (passengers:15  crew:1)|?|?|Near Lockhart, Texas|Heart of Texas Hot Air Balloon Rides|N2469L|Sightseeing Fentress Airpark|The hot air balloon struck power lines and crashed in a field. The pilot was likely impaired by opioids and sedatives when he ignored weather warnings and flew the ride into a power line.|0742
300   (passengers:282  crew:18)|Boeing 777-31H|32700/434|August 05, 2016|0   (passengers:0  crew:0)|521|1|Dubai, United Arab Emirates|Emirates|A6-EMW|Thiruvanthapuram, India - Dubai, UAE|After being cleared to land, the crew informed Dubai tower they were going around. Immediately after being cleared to go-around, the aircraft impacted the runway, losing an engine and catching fire. The plane slid to a stop and all aboard evacuated the plane safely. One fire fighter was killed while fighting the fire.|1238
5   (passengers:4  crew:1)|Cessna 208 Grand Caravan|208B5088|August 31, 2016|5   (passengers:4  crew:1)|3190|0|Russian Mission, Alaksa|Hageland Aviiation|N752RV|Russian Mission- Marshall|A midair collision occurred between a Cessna 208 and a Piper PA-18 Super Cub just northwest of Russian Mission Airport. Three on the Cessna and 2 on the Piper were fatally injured. Rough terrain complicated removal of the victims.|1100
5   (passengers:3  crew:2)|Swearingen SA277-AT Expditer|AT-577|October 24, 2016|5   (passengers:3  crew:2)|?|0|Malta International Airport|AE Aviation|N577MX|Malta-Luqa - Malta-Luga|Shortly after taking off, the plane banked to the right, lost altitude and impacted the ground just past the airport. French ministry officials on board were attempting to trace routes of illicit trafficking both human and drug, leaving Libya.|0720
77   (passengers:68  crew:9)|Avro RJ-85|E-2348|November 28, 2016|71   (passengers:64  crew:7)|2933|0|Near La Union, Colombia|LAMIA Bolivia|CP-2933|Santa Cruz, Bolivia - Medellin,Colombia|The crew of the chartered passenger jet declared an emergency as it approached La Union, reporting they ran out of fuel and had an electrical failure. Soon after the plane impacted mountainous terrain approximately 22 miles south of Medellin. Members of the Brazilian Chapecoense soccer team were among those killed. Among the errors made which caused the crash were the decisions to let the plane take off without enough fuel to make the flight safely and then to not stop midway to refuel. The pilot also did not report the plane's emergency until it was too late. In addition, as the fuel was running out, they extended the flaps and gear just before the engines stopped, but this caused enough drag that they could no longer glide to the airport. Since the captain was part owner of the small airline, he was motivated to cut fuel costs because the company was in financial trouble.|2200
13   (passengers:8  crew:5)|M28 Skytruck|?|December 03, 2016|13   (passengers:8  crew:5)|?|0|Near Tanjung Pinanga, Indonesia|Indonesian Police|P-4201|Pangkal Pinang - Batam Island|The Indonesian police aircraft crashed in the waters off Kabupaten Lingga, Riau Islands during a 1.5 hour scheduled flight.|1122
48   (passengers:42  crew:6)|ATR-42-500|663|December 07, 2016|48   (passengers:42  crew:6)|661|0|Near Havlien, Pakistan|Pakistan International Airlines|AP-BHO|Chitral - Islamabad|While en route, the crew made a mayday call reporting they lost one of two engines. Contact was lost and the plane soon after crashed into mountains near Abbottabad and Havelian.|1620
13   (passengers:10  crew:3)|Lockheed C-130H Hercules|4785|December 18, 2016|13   (passengers:10  crew:3)|?|0|Near Wamena, Papua, Indonesia|Indonesian Air Force|A-1134|Timika - Warmera|The military plane crashed into mountainous terrain in an eastern section of the country while attempting to land at Warmera.|0610
6   (passengers:0  crew:6)|Boeing 727-2JOF|21105/1158|December 20, 2016|5   (passengers:0  crew:5)|?|0|Puerto Carreno, Colombia|Aerosucre Colombia|HK-4544|Puerto Carreno - Bogota|After taking off on runway 24, the cargo jet failed to lift off properly, just cleared the perimeter fence, became airborne, turned to the right, lost altitude and crashed in an open field. One engine suffered a flame-out.|1723
92   (passengers:84  crew:8)|Tupolev 154B-2|83A-572|December 25, 2016|92   (passengers:84  crew:8)|?|0|Near Adar, Russia|Russian Air Force|RA-85572|Chkalovsky AB -Ader - Latakia|The plane, carrying the Alexandrov Emsemble choir, reporters and service men, made a climbout out of Ader, turned back towards the coastline and crashed into the waters of the Black Sea about a mile offshore.|0527
4   (passengers:0  crew:4)|Boeing 747-412F|32897/1322|January 16, 2017|4   (passengers:0  crew:4)|6491|35|Bishkek, Kyrgyzstan|My Cargo Airlines (ACT Airlines)|TC-MCL|Hong Kong - Bishkek - Istanbul|While approaching Bishkek for a fuel stop, the cargo plane crashed past the end of the runway destroying 23 houses. The weather at the time of the accident was freezing fog.|0719
5   (passengers:4  crew:1)|Beechcraft B200 Super King Air|BB1544|February 21, 2017|5   (passengers:4  crew:1)|?|0|Melbourne, Victoria, Australia|Australian Corporate Jet Centres PTY. LTD|VH-ZCR|Melbournen - King Island|The charter flight was just seconds into it's flight when it was observed flying low, before it nose diving into a building at a shopping center and bursting into flames. The pilot made two mayday calls before the aircraft crashed. It is reported the plane suffered engine failure.|0900
7   (passengers:5  crew:2)|Sikorsky S-76C|760717|March 10, 2017|7   (passengers:5  crew:2)|?|0|Istanbul, Turkey|Swan Aviation|TC-HEZ|Istanbul - Bozuyuk|The helicopter crashed on a highway after hitting a TV tower, six minutes after taking off. The helicopter was carrying an executive of the Eczacibasi group of companies, four of his Russian guests and two pilots.|1120
6   (passengers:4  crew:2)|Britten-Norman BN2 Islander|024|March 27, 2017|6   (passengers:4  crew:2)|?|0|Mautaer, Zimbabwe|ETA Air Charter|C9-AOV|Beira, Mozambique - Harare, Zimbabwe|While en route the air transport plane collided with Mount Vumba in poor weather conditions.|0815
2   (passengers:0  crew:2)|Shorts 300-200|SH-3029|May 05, 2017|2   (passengers:0  crew:2)|?|0|Charleston, West Virginia|Air Cargo Carriers|N334AC|Louisville - Charleston|The cargo plane was destroyed when it crashed while attempting to land on runway 05 at Charleston Yeager Airport. After touching down hard, the aircraft when off the left side of the runway and fell into a wooded ravine.|0653
3   (passengers:0  crew:3)|Let L-410UVP-E20|2917|May 27, 2017|2   (passengers:0  crew:2)|409|0|Tenzing, Nepal|Summit Air|9N-AKY|?|The cargo plane crashed short of the runway threshhold whille attempting to land at Lukla-Tenzing Airport, coming to rest on a steep wooded area close to the airport perimeter fence. Both the pilot and copilot were killed.|1402
122   (passengers:108  crew:14)|Shaanxi Y-8F-200W|?|June 07, 2017|122   (passengers:108  crew:14)|?|0|Off Dawei, Myanmar|Military - Myanmar Air Force|5820|Myeik - Yangon|The transport plane carrying military personnel and their familiies, left Myeik for a return trip to Yangon. The aircraft was at FL 180 when contact by air traffic control was lost 29 minutes into the flight. The plane crashed about 20 miles west of Dawei in the Andaman Sea.  The aircraft climbed to FL180 and proceeded along the coast. It passed two areas with cumulonimbus clouds and the flight crew activated the wing anti-icing. At 13:31 hours an alarm was triggered, indicating engine air inlet icing. At the same time, while flying in the vicinity of another area with cumulonimbus clouds, cross wind increased from 8 knots to 42 knots. In these conditions the aircraft stalled and entered a spin. The flight crew failed to recover from the spin and the aircraft impacted the sea.|1335
3   (passengers:2  crew:1)|Socata TB1-10 Tobago|1518|June 28, 2017|3   (passengers:2  crew:1)|?|0|Mount Gambier, South Australia|Angel Flight|VH-YTM|Suttontown - Adelaide|The medical flight crashed 3 km south of Mount Gambier Airport in heavy fog. The plane had just taken off and was bound for Adelaide with a patient and her daughter. Angel Flight is used to help people in rural areas access medical treatment.|1015
16   (passengers:14  crew:2)|Lockheed KC-130T Hercules|382-5303|July 10, 2017|16   (passengers:14  crew:2)|?|0|Near Itta Bena, Mississipi|USMC|165000|Cherry Point, NC - El Centro, CA|While en route, the Marine Corps transport suffered an explosion and structural failure at 20,000 ft., spiraled down and crashed into a soybean field. The investigation determined the cause of the mishap to be an inflight departure of the number four blade from the number two propeller.|1600
8   (passengers:5  crew:3)|Antonov An-12B|5343606|September 30, 2017|8   (passengers:5  crew:3)|?|0|Near Kinshasa, Congo|Air Force of the Democratic Republic of the Congo|EX-001|Kinshasa, - Bunia|The aircraft departed Kinshasa and crashed about 20 km NE of Kinshasa.|0730
7   (passengers:4  crew:3)|Embraer EMB-120ER|120082|October 12, 2017|7   (passengers:4  crew:3)|?|0|Near Cuílo, Angola|Guicango|D2-FDO|Dundo - Luanda|The air ambulance crashed en route shortly after the pilot reported a malfunction in the engine, followed by fire.|1715
